,as_of,ask_id,fund_size
6824,2008-05,B17110,32.2901
6825,2008-06,B17110,32.3155
6826,2008-07,B17110,32.3826
6827,2008-08,B17110,32.3214
6828,2008-09,B17110,31.9442
6829,2008-10,B17110,31.5498
6830,2008-11,B17110,32.2864
6831,2008-12,B17110,32.808
6832,2009-01,B17110,32.8535
6833,2009-02,B17110,32.7435
6834,2009-03,B17110,33.1473
6835,2009-04,B17110,33.18
6836,2009-05,B17110,33.0509
6837,2009-06,B17110,32.6195
6838,2009-07,B17110,32.8041
6839,2009-08,B17110,32.0371
6840,2009-09,B17110,33.2953
6841,2009-10,B17110,33.2184
6842,2009-11,B17110,33.5742
6843,2009-12,B17110,36.2088
6844,2010-01,B17110,36.4989
6845,2010-02,B17110,35.3687
6846,2010-03,B17110,35.0131
6847,2010-04,B17110,35.3673
6848,2010-05,B17110,34.5296
6849,2010-06,B17110,34.7913
6850,2010-07,B17110,34.9523
6851,2010-08,B17110,34.8437
6852,2010-09,B17110,33.6535
6853,2010-10,B17110,33.6917
6854,2010-11,B17110,33.3183
6855,2010-12,B17110,33.1479
6856,2011-01,B17110,30.1801
6857,2011-02,B17110,30.0129
6858,2011-03,B17110,29.9664
6859,2011-04,B17110,30.2657
6860,2011-05,B17110,30.6518
6861,2011-06,B17110,30.5293
6862,2011-07,B17110,30.9745
6863,2011-08,B17110,31.8435
6864,2011-09,B17110,32.8457
6865,2011-10,B17110,32.8927
6866,2011-11,B17110,33.7957
6867,2011-12,B17110,34.0798
6868,2012-01,B17110,34.4357
6869,2012-02,B17110,34.4274
6870,2012-03,B17110,33.6668
6871,2012-04,B17110,33.671
6872,2012-05,B17110,33.597
6873,2012-06,B17110,33.4566
6874,2012-07,B17110,35.5852
6875,2012-08,B17110,35.842
6876,2012-09,B17110,35.8714
6877,2012-10,B17110,35.8656
6878,2012-11,B17110,35.7853
6879,2012-12,B17110,36.4248
6880,2013-01,B17110,36.2339
